Algorithms,MaxCost,TimeTaken,Parameters
TransformAndConquer,7690,0.000009,107
SpaceAndTimeTradeOffs,7684,0.001614,107
DynamicProgramming,7684,0.002895,107
IterativeImprovement,7681,0.000095,107
Greedy,7611,0.000012,107
GeneticAlgorithm,7498,0.605181,107
TransformAndConquer,8513,0.000011,108
SpaceAndTimeTradeOffs,8504,0.001780,108
DynamicProgramming,8504,0.002900,108
IterativeImprovement,8502,0.000070,108
Greedy,8410,0.000010,108
GeneticAlgorithm,8244,0.616062,108
TransformAndConquer,8732,0.000010,109
SpaceAndTimeTradeOffs,8728,0.001638,109
DynamicProgramming,8728,0.002969,109
IterativeImprovement,8714,0.000094,109
Greedy,8551,0.000008,109
GeneticAlgorithm,8457,0.623084,109
TransformAndConquer,7773,0.000010,110
SpaceAndTimeTradeOffs,7768,0.001745,110
DynamicProgramming,7768,0.003098,110
IterativeImprovement,7756,0.000096,110
Greedy,7534,0.000010,110
GeneticAlgorithm,7431,0.663161,110
TransformAndConquer,7330,0.000011,111
SpaceAndTimeTradeOffs,7322,0.001747,111
DynamicProgramming,7322,0.003211,111
IterativeImprovement,7313,0.000085,111
Greedy,7095,0.000013,111
GeneticAlgorithm,6891,0.654090,111
TransformAndConquer,8639,0.000010,112
SpaceAndTimeTradeOffs,8637,0.001756,112
DynamicProgramming,8637,0.003170,112
IterativeImprovement,8636,0.000079,112
Greedy,8612,0.000017,112
GeneticAlgorithm,8433,0.623032,112
TransformAndConquer,8581,0.000009,113
SpaceAndTimeTradeOffs,8580,0.001759,113
DynamicProgramming,8580,0.003242,113
IterativeImprovement,8564,0.000087,113
Greedy,8332,0.000009,113
GeneticAlgorithm,8220,0.654687,113
TransformAndConquer,8528,0.000011,114
SpaceAndTimeTradeOffs,8527,0.001791,114
DynamicProgramming,8527,0.003313,114
IterativeImprovement,8527,0.000075,114
Greedy,8392,0.000013,114
GeneticAlgorithm,8186,0.644614,114
TransformAndConquer,8266,0.000012,115
SpaceAndTimeTradeOffs,8260,0.001849,115
DynamicProgramming,8260,0.003251,115
IterativeImprovement,8248,0.000101,115
Greedy,7948,0.000023,115
GeneticAlgorithm,7925,0.670169,115
TransformAndConquer,8906,0.000011,116
SpaceAndTimeTradeOffs,8900,0.001847,116
DynamicProgramming,8900,0.003386,116
IterativeImprovement,8892,0.000072,116
Greedy,8588,0.000011,116
GeneticAlgorithm,8513,0.667138,116
TransformAndConquer,9244,0.000011,117
SpaceAndTimeTradeOffs,9236,0.001867,117
DynamicProgramming,9236,0.003519,117
IterativeImprovement,9231,0.000132,117
Greedy,9074,0.000011,117
GeneticAlgorithm,8765,0.669404,117
TransformAndConquer,8992,0.000011,118
SpaceAndTimeTradeOffs,8991,0.001891,118
DynamicProgramming,8991,0.003515,118
IterativeImprovement,8991,0.000101,118
Greedy,8612,0.000012,118
GeneticAlgorithm,8673,0.674368,118
TransformAndConquer,9231,0.000010,119
SpaceAndTimeTradeOffs,9223,0.002019,119
DynamicProgramming,9223,0.003566,119
IterativeImprovement,9217,0.000080,119
Greedy,8773,0.000011,119
GeneticAlgorithm,8878,0.690460,119
TransformAndConquer,10089,0.000012,120
SpaceAndTimeTradeOffs,10080,0.002072,120
DynamicProgramming,10080,0.003665,120
IterativeImprovement,10075,0.000109,120
Greedy,9750,0.000018,120
GeneticAlgorithm,9587,0.679805,120
TransformAndConquer,8940,0.000010,121
SpaceAndTimeTradeOffs,8937,0.002156,121
DynamicProgramming,8937,0.003632,121
IterativeImprovement,8934,0.000100,121
Greedy,8247,0.000010,121
GeneticAlgorithm,8654,0.791069,121
TransformAndConquer,8753,0.000011,122
